Doanh Thu,Doanh Thu Cua Hang,Doanh Thu Tai Khoan Tu Van Hanh,Doanh Thu Affiliate,Luot Ban,Don Gia Binh Quan
continuous,continuous,continuous,continuous,continuous,continuous
,,,,,
0.486502,0.139129,0.18464,0.493292,0.473792,0.3386973
0.453158,0.108497,0.294951,0.4852,0.458376,0.3049808
0.426483,0.102574,0.257122,0.438361,0.458376,0.2330779
0.299776,0.0687337,0.228199,0.358067,0.377184,0.1298851
0.38647,0.168264,0.163608,0.370043,0.439877,0.1674330
0.246426,0.0720821,0.140811,0.276709,0.339157,0.0991060
0.38647,0.175718,0.196994,0.384809,0.417266,0.2528736
0.726579,0.158749,0.192052,0.350034,0.608428,0.4918263
0.346458,0.166194,0.124512,0.349581,0.412127,0.1463602
0.693235,0.635563,0.207229,0.246676,0.775951,0.0315453
0.706573,0.776013,0.147683,0.174514,0.477903,0.8681992
1,1,0,0.525396,0.700925,0.7936143
0.673229,0.615255,0.293912,0.192661,0.426516,1.00000
0.226419,0.202914,0.133419,0.132741,0.231244,0.4687101
0.559859,0.162411,0.345715,0.565415,0.561151,0.2513410
0.195843,0.0806227,0.154555,0.208471,0.277492,0.1619413
0.266432,0.17083,0.117536,0.257903,0.472871,0.3157088
0.206413,0.0915377,0.194149,0.222517,0.228160,0.4140485
0.259763,0.120143,0.225189,0.2457,0.251799,0.4948914
0.566528,0.277953,0.304418,0.46319,0.545735,0.3153257
0,0,0.267087,0,0.0000,0.9381865
0.846618,0.125857,0.267835,1,0.937307,0.00000
0.546522,0.347217,0.26744,0.357821,0.532374,0.3044700
0.479834,0.0531919,0.360186,0.458261,0.396711,0.5862069
0.326451,0.139798,0.305415,0.260426,0.367934,0.2455939
0.299776,0.0690033,0.347168,0.257617,0.281603,0.4924649
0.639885,0.305436,0.321879,0.503632,0.570401,0.4169860
0.479834,0.165446,0.510651,0.349866,0.389517,0.6028097
0.986662,0.275074,1,0.446906,0.775951,0.5763729
0.933312,0.46462,0.573125,0.585601,1.0000,0.0315453
